Weather_Condition,Count
Overcast,115124
Mostly Cloudy,103661
Unknown,17548
Haze,7476
Light Snow,8611
Light Rain,34123
Snow,878
Scattered Clouds,68902
Heavy Rain,2754
Clear,260790
Partly Cloudy,71286
Rain,7747
Light Drizzle,2489
Drizzle,501
Heavy Thunderstorms and Rain,896
Light Thunderstorms and Rain,1582
Fog,3469
Light Freezing Drizzle,100
Cloudy,901
Thunderstorms and Rain,779
Light Freezing Rain,404
Light Freezing Fog,235
Mist,545
Light Rain Showers,77
Thunderstorm,1364
Fair,2718
Light Haze,2
Heavy Snow,318
Shallow Fog,324
Patches of Fog,751
Heavy Drizzle,52
Rain Showers,33
Ice Pellets,31
Volcanic Ash,11
Snow Grains,4
N/A Precipitation,3
Blowing Snow,26
Squalls,12
Light Rain / Windy,19
Light Thunderstorms and Snow,5
Partly Cloudy / Windy,12
Light Fog,3
Light Ice Pellets,91
Freezing Rain / Windy,1
Smoke,1136
T-Storm,9
Rain / Windy,12
Showers in the Vicinity,3
Light Rain Shower,1
Wintry Mix,1
Fair / Windy,56
Widespread Dust,21
Cloudy / Windy,25
Small Hail,6
Snow Showers,1
Wintry Mix / Windy,1
Heavy Thunderstorms and Snow,3
Light Snow / Windy,4
Light Snow Showers,5
Mostly Cloudy / Windy,11
Heavy Rain / Windy,13
Heavy Snow / Windy,1
Heavy Ice Pellets,4
Heavy Freezing Rain,1
Heavy T-Storm / Windy,4
Heavy T-Storm,5
Thunder,11
Fog / Windy,1
Funnel Cloud,10
Dust Whirls,1
Thunder in the Vicinity,6
Heavy Rain Showers,1
Light Rain with Thunder,4
Light Thunderstorm,2
Sand,2
Light Snow Grains,1
Smoke / Windy,5
Light Snow and Sleet,1
Thunderstorms and Snow,1
